weak,strong,sentence,Yes,No,answer
happy,ecstatic,The couple is happy.,The couple is not ecstatic.,The couple is ecstatic.,Yes
happy,ecstatic,The team is happy.,The team is not ecstatic.,The team is ecstatic.,Yes
happy,ecstatic,The crowd is happy.,The crowd is not ecstatic.,The crowd is ecstatic.,Yes
happy,ecstatic,The baby is happy.,The baby is not ecstatic.,The baby is ecstatic.,Yes
happy,ecstatic,The cat is happy.,The cat is not ecstatic.,The cat is ecstatic.,Yes
happy,ecstatic,The artist is happy.,The artist is not ecstatic.,The artist is ecstatic.,Yes
happy,ecstatic,The musician is happy.,The musician is not ecstatic.,The musician is ecstatic.,Yes
happy,ecstatic,The chef is happy.,The chef is not ecstatic.,The chef is ecstatic.,Yes
happy,ecstatic,The traveler is happy.,The traveler is not ecstatic.,The traveler is ecstatic.,Yes
happy,ecstatic,The dancer is happy.,The dancer is not ecstatic.,The dancer is ecstatic.,Yes
happy,ecstatic,The actor is happy.,The actor is not ecstatic.,The actor is ecstatic.,Yes
happy,ecstatic,The writer is happy.,The writer is not ecstatic.,The writer is ecstatic.,Yes
happy,ecstatic,The gardener is happy.,The gardener is not ecstatic.,The gardener is ecstatic.,Yes
happy,ecstatic,The bird is happy.,The bird is not ecstatic.,The bird is ecstatic.,Yes
happy,ecstatic,The athlete is happy.,The athlete is not ecstatic.,The athlete is ecstatic.,Yes
happy,ecstatic,The parent is happy.,The parent is not ecstatic.,The parent is ecstatic.,Yes
happy,ecstatic,The neighbor is happy.,The neighbor is not ecstatic.,The neighbor is ecstatic.,Yes
happy,ecstatic,The community is happy.,The community is not ecstatic.,The community is ecstatic.,Yes
happy,ecstatic,The doctor is happy.,The doctor is not ecstatic.,The doctor is ecstatic.,Yes
happy,ecstatic,The nurse is happy.,The nurse is not ecstatic.,The nurse is ecstatic.,Yes
happy,ecstatic,The patient is happy.,The patient is not ecstatic.,The patient is ecstatic.,Yes
happy,ecstatic,The customer is happy.,The customer is not ecstatic.,The customer is ecstatic.,Yes
happy,ecstatic,The boss is happy.,The boss is not ecstatic.,The boss is ecstatic.,Yes
happy,ecstatic,The employee is happy.,The employee is not ecstatic.,The employee is ecstatic.,Yes
happy,ecstatic,The friend is happy.,The friend is not ecstatic.,The friend is ecstatic.,Yes
happy,ecstatic,The child’s face is happy.,The child’s face is not ecstatic.,The child’s face is ecstatic.,Yes
happy,ecstatic,The puppy is happy.,The puppy is not ecstatic.,The puppy is ecstatic.,Yes
happy,ecstatic,The grandparents are happy.,The grandparents are not ecstatic.,The grandparents are ecstatic.,Yes
happy,ecstatic,The bride is happy.,The bride is not ecstatic.,The bride is ecstatic.,Yes
happy,ecstatic,The groom is happy.,The groom is not ecstatic.,The groom is ecstatic.,Yes
happy,ecstatic,The host is happy.,The host is not ecstatic.,The host is ecstatic.,Yes
happy,ecstatic,The guests are happy.,The guests are not ecstatic.,The guests are ecstatic.,Yes
happy,ecstatic,The sibling is happy.,The sibling is not ecstatic.,The sibling is ecstatic.,Yes
happy,ecstatic,The mentor is happy.,The mentor is not ecstatic.,The mentor is ecstatic.,Yes
happy,ecstatic,The mentee is happy.,The mentee is not ecstatic.,The mentee is ecstatic.,Yes
happy,ecstatic,The volunteer is happy.,The volunteer is not ecstatic.,The volunteer is ecstatic.,Yes
happy,ecstatic,The worker is happy.,The worker is not ecstatic.,The worker is ecstatic.,Yes
happy,ecstatic,The camper is happy.,The camper is not ecstatic.,The camper is ecstatic.,Yes
happy,ecstatic,The farmer is happy.,The farmer is not ecstatic.,The farmer is ecstatic.,Yes
happy,ecstatic,The climber is happy.,The climber is not ecstatic.,The climber is ecstatic.,Yes
happy,ecstatic,The runner is happy.,The runner is not ecstatic.,The runner is ecstatic.,Yes
happy,ecstatic,The swimmer is happy.,The swimmer is not ecstatic.,The swimmer is ecstatic.,Yes
happy,ecstatic,The shopper is happy.,The shopper is not ecstatic.,The shopper is ecstatic.,Yes
happy,ecstatic,The fisherman is happy.,The fisherman is not ecstatic.,The fisherman is ecstatic.,Yes
happy,ecstatic,The mechanic is happy.,The mechanic is not ecstatic.,The mechanic is ecstatic.,Yes
happy,ecstatic,The baker is happy.,The baker is not ecstatic.,The baker is ecstatic.,Yes
happy,ecstatic,The host family is happy.,The host family is not ecstatic.,The host family is ecstatic.,Yes
happy,ecstatic,The bride’s parents are happy.,The bride’s parents are not ecstatic.,The bride’s parents are ecstatic.,Yes
happy,ecstatic,The pet is happy.,The pet is not ecstatic.,The pet is ecstatic.,Yes
happy,ecstatic,The child’s laugh is happy.,The child’s laugh is not ecstatic.,The child’s laugh is ecstatic.,Yes
happy,ecstatic,The baby’s smile is happy.,The baby’s smile is not ecstatic.,The baby’s smile is ecstatic.,Yes
happy,ecstatic,The face in the photo is happy.,The face in the photo is not ecstatic.,The face in the photo is ecstatic.,Yes
happy,ecstatic,The memory is happy.,The memory is not ecstatic.,The memory is ecstatic.,Yes
happy,ecstatic,The moment is happy.,The moment is not ecstatic.,The moment is ecstatic.,Yes
happy,ecstatic,The music is happy.,The music is not ecstatic.,The music is ecstatic.,Yes
happy,ecstatic,The melody is happy.,The melody is not ecstatic.,The melody is ecstatic.,Yes
happy,ecstatic,The song is happy.,The song is not ecstatic.,The song is ecstatic.,Yes
happy,ecstatic,The movie is happy.,The movie is not ecstatic.,The movie is ecstatic.,Yes
happy,ecstatic,The story is happy.,The story is not ecstatic.,The story is ecstatic.,Yes
happy,ecstatic,The ending is happy.,The ending is not ecstatic.,The ending is ecstatic.,Yes
happy,ecstatic,The occasion is happy.,The occasion is not ecstatic.,The occasion is ecstatic.,Yes
happy,ecstatic,The anniversary is happy.,The anniversary is not ecstatic.,The anniversary is ecstatic.,Yes
happy,ecstatic,The party is happy.,The party is not ecstatic.,The party is ecstatic.,Yes
happy,ecstatic,The celebration is happy.,The celebration is not ecstatic.,The celebration is ecstatic.,Yes
happy,ecstatic,The reunion is happy.,The reunion is not ecstatic.,The reunion is ecstatic.,Yes
happy,ecstatic,The gathering is happy.,The gathering is not ecstatic.,The gathering is ecstatic.,Yes
happy,ecstatic,The atmosphere is happy.,The atmosphere is not ecstatic.,The atmosphere is ecstatic.,Yes
happy,ecstatic,The festival is happy.,The festival is not ecstatic.,The festival is ecstatic.,Yes
happy,ecstatic,The holiday is happy.,The holiday is not ecstatic.,The holiday is ecstatic.,Yes
happy,ecstatic,The child’s expression is happy.,The child’s expression is not ecstatic.,The child’s expression is ecstatic.,Yes
happy,ecstatic,The photograph is happy.,The photograph is not ecstatic.,The photograph is ecstatic.,Yes
happy,ecstatic,The puppy’s tail is happy.,The puppy’s tail is not ecstatic.,The puppy’s tail is ecstatic.,Yes
happy,ecstatic,The picnic is happy.,The picnic is not ecstatic.,The picnic is ecstatic.,Yes
happy,ecstatic,The event is happy.,The event is not ecstatic.,The event is ecstatic.,Yes
happy,ecstatic,The parade is happy.,The parade is not ecstatic.,The parade is ecstatic.,Yes
happy,ecstatic,The park is happy.,The park is not ecstatic.,The park is ecstatic.,Yes
happy,ecstatic,The playground is happy.,The playground is not ecstatic.,The playground is ecstatic.,Yes
happy,ecstatic,The classroom is happy.,The classroom is not ecstatic.,The classroom is ecstatic.,Yes
happy,ecstatic,The wedding is happy.,The wedding is not ecstatic.,The wedding is ecstatic.,Yes
happy,ecstatic,The reception is happy.,The reception is not ecstatic.,The reception is ecstatic.,Yes
happy,ecstatic,The banquet is happy.,The banquet is not ecstatic.,The banquet is ecstatic.,Yes
happy,ecstatic,The journey is happy.,The journey is not ecstatic.,The journey is ecstatic.,Yes
happy,ecstatic,The homecoming is happy.,The homecoming is not ecstatic.,The homecoming is ecstatic.,Yes
happy,ecstatic,The surprise is happy.,The surprise is not ecstatic.,The surprise is ecstatic.,Yes
happy,ecstatic,The teacher’s voice is happy.,The teacher’s voice is not ecstatic.,The teacher’s voice is ecstatic.,Yes
happy,ecstatic,The coach is happy.,The coach is not ecstatic.,The coach is ecstatic.,Yes
happy,ecstatic,The referee is happy.,The referee is not ecstatic.,The referee is ecstatic.,Yes
happy,ecstatic,The audience is happy.,The audience is not ecstatic.,The audience is ecstatic.,Yes
happy,ecstatic,The winner’s family is happy.,The winner’s family is not ecstatic.,The winner’s family is ecstatic.,Yes
happy,ecstatic,The moment of triumph is happy.,The moment of triumph is not ecstatic.,The moment of triumph is ecstatic.,Yes
happy,ecstatic,The child’s artwork is happy.,The child’s artwork is not ecstatic.,The child’s artwork is ecstatic.,Yes
happy,ecstatic,The conversation is happy.,The conversation is not ecstatic.,The conversation is ecstatic.,Yes
happy,ecstatic,The letter is happy.,The letter is not ecstatic.,The letter is ecstatic.,Yes
happy,ecstatic,The result is happy.,The result is not ecstatic.,The result is ecstatic.,Yes
hard,unsolvable,The problem is hard.,The problem is not unsolvable.,The problem is unsolvable.,Yes
hard,unsolvable,The test is hard.,The test is not unsolvable.,The test is unsolvable.,Yes
hard,unsolvable,The exam is hard.,The exam is not unsolvable.,The exam is unsolvable.,Yes
hard,unsolvable,The task is hard.,The task is not unsolvable.,The task is unsolvable.,Yes
hard,unsolvable,The job is hard.,The job is not unsolvable.,The job is unsolvable.,Yes
hard,unsolvable,The puzzle is hard.,The puzzle is not unsolvable.,The puzzle is unsolvable.,Yes
hard,unsolvable,The question is hard.,The question is not unsolvable.,The question is unsolvable.,Yes
hard,unsolvable,The challenge is hard.,The challenge is not unsolvable.,The challenge is unsolvable.,Yes
hard,unsolvable,The decision is hard.,The decision is not unsolvable.,The decision is unsolvable.,Yes
hard,unsolvable,The climb is hard.,The climb is not unsolvable.,The climb is unsolvable.,Yes
hard,unsolvable,The hike is hard.,The hike is not unsolvable.,The hike is unsolvable.,Yes
hard,unsolvable,The project is hard.,The project is not unsolvable.,The project is unsolvable.,Yes
hard,unsolvable,The lesson is hard.,The lesson is not unsolvable.,The lesson is unsolvable.,Yes
hard,unsolvable,The conversation is hard.,The conversation is not unsolvable.,The conversation is unsolvable.,Yes
hard,unsolvable,The assignment is hard.,The assignment is not unsolvable.,The assignment is unsolvable.,Yes
hard,unsolvable,The goal is hard.,The goal is not unsolvable.,The goal is unsolvable.,Yes
hard,unsolvable,The game is hard.,The game is not unsolvable.,The game is unsolvable.,Yes
hard,unsolvable,The level is hard.,The level is not unsolvable.,The level is unsolvable.,Yes
hard,unsolvable,The workout is hard.,The workout is not unsolvable.,The workout is unsolvable.,Yes
hard,unsolvable,The choice is hard.,The choice is not unsolvable.,The choice is unsolvable.,Yes
hard,unsolvable,The path is hard.,The path is not unsolvable.,The path is unsolvable.,Yes
hard,unsolvable,The course is hard.,The course is not unsolvable.,The course is unsolvable.,Yes
hard,unsolvable,The work is hard.,The work is not unsolvable.,The work is unsolvable.,Yes
hard,unsolvable,The competition is hard.,The competition is not unsolvable.,The competition is unsolvable.,Yes
hard,unsolvable,The training is hard.,The training is not unsolvable.,The training is unsolvable.,Yes
hard,unsolvable,The journey is hard.,The journey is not unsolvable.,The journey is unsolvable.,Yes
hard,unsolvable,The marathon is hard.,The marathon is not unsolvable.,The marathon is unsolvable.,Yes
hard,unsolvable,The situation is hard.,The situation is not unsolvable.,The situation is unsolvable.,Yes
hard,unsolvable,The process is hard.,The process is not unsolvable.,The process is unsolvable.,Yes
hard,unsolvable,The schedule is hard.,The schedule is not unsolvable.,The schedule is unsolvable.,Yes
hard,unsolvable,The exercise is hard.,The exercise is not unsolvable.,The exercise is unsolvable.,Yes
hard,unsolvable,The problem-solving is hard.,The problem-solving is not unsolvable.,The problem-solving is unsolvable.,Yes
hard,unsolvable,The math problem is hard.,The math problem is not unsolvable.,The math problem is unsolvable.,Yes
hard,unsolvable,The coding is hard.,The coding is not unsolvable.,The coding is unsolvable.,Yes
hard,unsolvable,The repair is hard.,The repair is not unsolvable.,The repair is unsolvable.,Yes
hard,unsolvable,The routine is hard.,The routine is not unsolvable.,The routine is unsolvable.,Yes
hard,unsolvable,The exam question is hard.,The exam question is not unsolvable.,The exam question is unsolvable.,Yes
hard,unsolvable,The terrain is hard.,The terrain is not unsolvable.,The terrain is unsolvable.,Yes
hard,unsolvable,The decision-making is hard.,The decision-making is not unsolvable.,The decision-making is unsolvable.,Yes
hard,unsolvable,The language is hard.,The language is not unsolvable.,The language is unsolvable.,Yes
hard,unsolvable,The translation is hard.,The translation is not unsolvable.,The translation is unsolvable.,Yes
hard,unsolvable,The research is hard.,The research is not unsolvable.,The research is unsolvable.,Yes
hard,unsolvable,The negotiation is hard.,The negotiation is not unsolvable.,The negotiation is unsolvable.,Yes
hard,unsolvable,The route is hard.,The route is not unsolvable.,The route is unsolvable.,Yes
hard,unsolvable,The commute is hard.,The commute is not unsolvable.,The commute is unsolvable.,Yes
hard,unsolvable,The recovery is hard.,The recovery is not unsolvable.,The recovery is unsolvable.,Yes
hard,unsolvable,The project deadline is hard.,The project deadline is not unsolvable.,The project deadline is unsolvable.,Yes
hard,unsolvable,The weather is hard.,The weather is not unsolvable.,The weather is unsolvable.,Yes
hard,unsolvable,The circumstances are hard.,The circumstances are not unsolvable.,The circumstances are unsolvable.,Yes
hard,unsolvable,The preparation is hard.,The preparation is not unsolvable.,The preparation is unsolvable.,Yes
hard,unsolvable,The budget is hard.,The budget is not unsolvable.,The budget is unsolvable.,Yes
hard,unsolvable,The goal-setting is hard.,The goal-setting is not unsolvable.,The goal-setting is unsolvable.,Yes
hard,unsolvable,The discussion is hard.,The discussion is not unsolvable.,The discussion is unsolvable.,Yes
hard,unsolvable,The conversation about money is hard.,The conversation about money is not unsolvable.,The conversation about money is unsolvable.,Yes
hard,unsolvable,The interview is hard.,The interview is not unsolvable.,The interview is unsolvable.,Yes
hard,unsolvable,The adaptation is hard.,The adaptation is not unsolvable.,The adaptation is unsolvable.,Yes
hard,unsolvable,The balance is hard.,The balance is not unsolvable.,The balance is unsolvable.,Yes
hard,unsolvable,The reconciliation is hard.,The reconciliation is not unsolvable.,The reconciliation is unsolvable.,Yes
hard,unsolvable,The relationship is hard.,The relationship is not unsolvable.,The relationship is unsolvable.,Yes
hard,unsolvable,The plan is hard.,The plan is not unsolvable.,The plan is unsolvable.,Yes
hard,unsolvable,The adjustment is hard.,The adjustment is not unsolvable.,The adjustment is unsolvable.,Yes
hard,unsolvable,The explanation is hard.,The explanation is not unsolvable.,The explanation is unsolvable.,Yes
hard,unsolvable,The route to success is hard.,The route to success is not unsolvable.,The route to success is unsolvable.,Yes
hard,unsolvable,The process of learning is hard.,The process of learning is not unsolvable.,The process of learning is unsolvable.,Yes
hard,unsolvable,The book is hard.,The book is not unsolvable.,The book is unsolvable.,Yes
hard,unsolvable,The skill is hard.,The skill is not unsolvable.,The skill is unsolvable.,Yes
hard,unsolvable,The sport is hard.,The sport is not unsolvable.,The sport is unsolvable.,Yes
hard,unsolvable,The subject is hard.,The subject is not unsolvable.,The subject is unsolvable.,Yes
hard,unsolvable,The concept is hard.,The concept is not unsolvable.,The concept is unsolvable.,Yes
hard,unsolvable,The rule is hard.,The rule is not unsolvable.,The rule is unsolvable.,Yes
hard,unsolvable,The instructions are hard.,The instructions are not unsolvable.,The instructions are unsolvable.,Yes
hard,unsolvable,The path forward is hard.,The path forward is not unsolvable.,The path forward is unsolvable.,Yes
hard,unsolvable,The test preparation is hard.,The test preparation is not unsolvable.,The test preparation is unsolvable.,Yes
hard,unsolvable,The recovery process is hard.,The recovery process is not unsolvable.,The recovery process is unsolvable.,Yes
hard,unsolvable,The planning is hard.,The planning is not unsolvable.,The planning is unsolvable.,Yes
hard,unsolvable,The training routine is hard.,The training routine is not unsolvable.,The training routine is unsolvable.,Yes
hard,unsolvable,The move is hard.,The move is not unsolvable.,The move is unsolvable.,Yes
hard,unsolvable,The packing is hard.,The packing is not unsolvable.,The packing is unsolvable.,Yes
hard,unsolvable,The decision to relocate is hard.,The decision to relocate is not unsolvable.,The decision to relocate is unsolvable.,Yes
hard,unsolvable,The speech is hard.,The speech is not unsolvable.,The speech is unsolvable.,Yes
hard,unsolvable,The presentation is hard.,The presentation is not unsolvable.,The presentation is unsolvable.,Yes
hard,unsolvable,The essay is hard.,The essay is not unsolvable.,The essay is unsolvable.,Yes
hard,unsolvable,The creative process is hard.,The creative process is not unsolvable.,The creative process is unsolvable.,Yes
hard,unsolvable,The implementation is hard.,The implementation is not unsolvable.,The implementation is unsolvable.,Yes
hard,unsolvable,The execution is hard.,The execution is not unsolvable.,The execution is unsolvable.,Yes
hard,unsolvable,The parenting is hard.,The parenting is not unsolvable.,The parenting is unsolvable.,Yes
hard,unsolvable,The teaching is hard.,The teaching is not unsolvable.,The teaching is unsolvable.,Yes
hard,unsolvable,The explanation of the concept is hard.,The explanation of the concept is not unsolvable.,The explanation of the concept is unsolvable.,Yes
hard,unsolvable,The responsibility is hard.,The responsibility is not unsolvable.,The responsibility is unsolvable.,Yes
hard,unsolvable,The leadership is hard.,The leadership is not unsolvable.,The leadership is unsolvable.,Yes
hard,unsolvable,The apology is hard.,The apology is not unsolvable.,The apology is unsolvable.,Yes
hard,unsolvable,The repair work is hard.,The repair work is not unsolvable.,The repair work is unsolvable.,Yes
hard,unsolvable,The analysis is hard.,The analysis not is not unsolvable.,The analysis is unsolvable.,Yes
hard,unsolvable,The trade-off is hard.,The trade-off is not unsolvable.,The trade-off is unsolvable.,Yes
hard,unsolvable,The balancing act is hard.,The balancing act is not unsolvable.,The balancing act is unsolvable.,Yes
hard,unsolvable,The mental challenge is hard.,The mental challenge is not unsolvable.,The mental challenge is unsolvable.,Yes
hard,unsolvable,The physical task is hard.,The physical task is not unsolvable.,The physical task is unsolvable.,Yes
hard,unsolvable,The choices ahead are hard.,The choices ahead are not unsolvable.,The choices ahead are unsolvable.,Yes
hard,unsolvable,The first step is hard.,The first step is not unsolvable.,The first step is unsolvable.,Yes
hard,unsolvable,The decision to let go is hard.,The decision to let go is not unsolvable.,The decision to let go is unsolvable.,Yes
harmful,deadly,The toxin is harmful.,The toxin is not deadly.,The toxin is deadly.,Yes
harmful,deadly,The pollution is harmful.,The pollution is not deadly.,The pollution is deadly.,Yes
harmful,deadly,The substance is harmful.,The substance is not deadly.,The substance is deadly.,Yes
harmful,deadly,The chemical is harmful.,The chemical is not deadly.,The chemical is deadly.,Yes
harmful,deadly,The smoke is harmful.,The smoke is not deadly.,The smoke is deadly.,Yes
harmful,deadly,The drug is harmful.,The drug is not deadly.,The drug is deadly.,Yes
harmful,deadly,The rumor is harmful.,The rumor is not deadly.,The rumor is deadly.,Yes
harmful,deadly,The behavior is harmful.,The behavior is not deadly.,The behavior is deadly.,Yes
harmful,deadly,The lie is harmful.,The lie is not deadly.,The lie is deadly.,Yes
harmful,deadly,The pesticide is harmful.,The pesticide is not deadly.,The pesticide is deadly.,Yes
harmful,deadly,The habit is harmful.,The habit is not deadly.,The habit is deadly.,Yes
harmful,deadly,The waste is harmful.,The waste is not deadly.,The waste is deadly.,Yes
harmful,deadly,The relationship is harmful.,The relationship is not deadly.,The relationship is deadly.,Yes
harmful,deadly,The diet is harmful.,The diet is not deadly.,The diet is deadly.,Yes
harmful,deadly,The environment is harmful.,The environment is not deadly.,The environment is deadly.,Yes
harmful,deadly,The decision is harmful.,The decision is not deadly.,The decision is deadly.,Yes
harmful,deadly,The UV radiation is harmful.,The UV radiation is not deadly.,The UV radiation is deadly.,Yes
harmful,deadly,The bacteria is harmful.,The bacteria is not deadly.,The bacteria is deadly.,Yes
harmful,deadly,The attitude is harmful.,The attitude is not deadly.,The attitude is deadly.,Yes
harmful,deadly,The misinformation is harmful.,The misinformation is not deadly.,The misinformation is deadly.,Yes
harmful,deadly,The policy is harmful.,The policy is not deadly.,The policy is deadly.,Yes
harmful,deadly,The fungus is harmful.,The fungus is not deadly.,The fungus is deadly.,Yes
harmful,deadly,The neglect is harmful.,The neglect is not deadly.,The neglect is deadly.,Yes
harmful,deadly,The product is harmful.,The product is not deadly.,The product is deadly.,Yes
harmful,deadly,The gossip is harmful.,The gossip is not deadly.,The gossip is deadly.,Yes
harmful,deadly,The criticism is harmful.,The criticism is not deadly.,The criticism is deadly.,Yes
harmful,deadly,The chemical reaction is harmful.,The chemical reaction is not deadly.,The chemical reaction is deadly.,Yes
harmful,deadly,The noise is harmful.,The noise is not deadly.,The noise is deadly.,Yes
harmful,deadly,The exposure is harmful.,The exposure is not deadly.,The exposure is deadly.,Yes
harmful,deadly,The addiction is harmful.,The addiction is not deadly.,The addiction is deadly.,Yes
harmful,deadly,The intervention is harmful.,The intervention is not deadly.,The intervention is deadly.,Yes
harmful,deadly,The act is harmful.,The act is not deadly.,The act is deadly.,Yes
harmful,deadly,The procedure is harmful.,The procedure is not deadly.,The procedure is deadly.,Yes
harmful,deadly,The neglect of safety is harmful.,The neglect of safety is not deadly.,The neglect of safety is deadly.,Yes
harmful,deadly,The treatment is harmful.,The treatment is not deadly.,The treatment is deadly.,Yes
harmful,deadly,The interaction is harmful.,The interaction is not deadly.,The interaction is deadly.,Yes
harmful,deadly,The combination is harmful.,The combination is not deadly.,The combination is deadly.,Yes
harmful,deadly,The smoke inhalation is harmful.,The smoke inhalation is not deadly.,The smoke inhalation is deadly.,Yes
harmful,deadly,The financial decision is harmful.,The financial decision is not deadly.,The financial decision is deadly.,Yes
harmful,deadly,The interference is harmful.,The interference is not deadly.,The interference is deadly.,Yes
harmful,deadly,The disease is harmful.,The disease is not deadly.,The disease is deadly.,Yes
harmful,deadly,The habit of procrastination is harmful.,The habit of procrastination is not deadly.,The habit of procrastination is deadly.,Yes
harmful,deadly,The air pollution is harmful.,The air pollution is not deadly.,The air pollution is deadly.,Yes
harmful,deadly,The neglect of health is harmful.,The neglect of health is not deadly.,The neglect of health is deadly.,Yes
harmful,deadly,The overuse of antibiotics is harmful.,The overuse of antibiotics is not deadly.,The overuse of antibiotics is deadly.,Yes
harmful,deadly,The deforestation is harmful.,The deforestation is not deadly.,The deforestation is deadly.,Yes
harmful,deadly,The stress is harmful.,The stress is not deadly.,The stress is deadly.,Yes
harmful,deadly,The oversharing is harmful.,The oversharing is not deadly.,The oversharing is deadly.,Yes
harmful,deadly,The delay is harmful.,The delay is not deadly.,The delay is deadly.,Yes
harmful,deadly,The extreme heat is harmful.,The extreme heat is not deadly.,The extreme heat is deadly.,Yes
harmful,deadly,The conflict is harmful.,The conflict is not deadly.,The conflict is deadly.,Yes
harmful,deadly,The exposure to noise is harmful.,The exposure to noise is not deadly.,The exposure to noise is deadly.,Yes
harmful,deadly,The lack of sleep is harmful.,The lack of sleep is not deadly.,The lack of sleep is deadly.,Yes
harmful,deadly,The overconsumption of sugar is harmful.,The overconsumption of sugar is not deadly.,The overconsumption of sugar is deadly.,Yes
harmful,deadly,The disinformation is harmful.,The disinformation is not deadly.,The disinformation is deadly.,Yes
harmful,deadly,The oil spill is harmful.,The oil spill is not deadly.,The oil spill is deadly.,Yes
harmful,deadly,The disrespect is harmful.,The disrespect is not deadly.,The disrespect is deadly.,Yes
harmful,deadly,The insult is harmful.,The insult is not deadly.,The insult is deadly.,Yes
harmful,deadly,The neglect of duties is harmful.,The neglect of duties is not deadly.,The neglect of duties is deadly.,Yes
harmful,deadly,The prolonged exposure to sunlight is harmful.,The prolonged exposure to sunlight is not deadly.,The prolonged exposure to sunlight is deadly.,Yes
harmful,deadly,The lack of exercise is harmful.,The lack of exercise is not deadly.,The lack of exercise is deadly.,Yes
harmful,deadly,The argument is harmful.,The argument is not deadly.,The argument is deadly.,Yes
harmful,deadly,The sharp object is harmful.,The sharp object is not deadly.,The sharp object is deadly.,Yes
harmful,deadly,The drought is harmful.,The drought is not deadly.,The drought is deadly.,Yes
harmful,deadly,The extreme cold is harmful.,The extreme cold is not deadly.,The extreme cold is deadly.,Yes
harmful,deadly,The food additive is harmful.,The food additive is not deadly.,The food additive is deadly.,Yes
harmful,deadly,The negligence is harmful.,The negligence is not deadly.,The negligence is deadly.,Yes
harmful,deadly,The unfiltered water is harmful.,The unfiltered water is not deadly.,The unfiltered water is deadly.,Yes
harmful,deadly,The careless words are harmful.,The careless words are not deadly.,The careless words are deadly.,Yes
harmful,deadly,The electric shock is harmful.,The electric shock is not deadly.,The electric shock is deadly.,Yes
harmful,deadly,The careless driving is harmful.,The careless driving is not deadly.,The careless driving is deadly.,Yes
harmful,deadly,The untreated waste is harmful.,The untreated waste is not deadly.,The untreated waste is deadly.,Yes
harmful,deadly,The contaminated soil is harmful.,The contaminated soil is not deadly.,The contaminated soil is deadly.,Yes
harmful,deadly,The practice is harmful.,The practice is not deadly.,The practice is deadly.,Yes
harmful,deadly,The lack of communication is harmful.,The lack of communication is not deadly.,The lack of communication is deadly.,Yes
harmful,deadly,The distraction is harmful.,The distraction is not deadly.,The distraction is deadly.,Yes
harmful,deadly,The bad habit is harmful.,The bad habit is not deadly.,The bad habit is deadly.,Yes
harmful,deadly,The excessive workload is harmful.,The excessive workload is not deadly.,The excessive workload is deadly.,Yes
harmful,deadly,The food contamination is harmful.,The food contamination is not deadly.,The food contamination is deadly.,Yes
harmful,deadly,The untreated illness is harmful.,The untreated illness is not deadly.,The untreated illness is deadly.,Yes
harmful,deadly,The overuse of technology is harmful.,The overuse of technology is not deadly.,The overuse of technology is deadly.,Yes
harmful,deadly,The hostility is harmful.,The hostility is not deadly.,The hostility is deadly.,Yes
harmful,deadly,The mismanagement is harmful.,The mismanagement is not deadly.,The mismanagement is deadly.,Yes
harmful,deadly,The air quality is harmful.,The air quality is not deadly.,The air quality is deadly.,Yes
harmful,deadly,The arrogance is harmful.,The arrogance is not deadly.,The arrogance is deadly.,Yes
harmful,deadly,The abuse is harmful.,The abuse is not deadly.,The abuse is deadly.,Yes
harmful,deadly,The false assumption is harmful.,The false assumption is not deadly.,The false assumption is deadly.,Yes
harmful,deadly,The poor diet is harmful.,The poor diet is not deadly.,The poor diet is deadly.,Yes
harmful,deadly,The spoiled food is harmful.,The spoiled food is not deadly.,The spoiled food is deadly.,Yes
harmful,deadly,The excessive criticism is harmful.,The excessive criticism is not deadly.,The excessive criticism is deadly.,Yes
harmful,deadly,The lack of resources is harmful.,The lack of resources is not deadly.,The lack of resources is deadly.,Yes
harmful,deadly,The sharp tool is harmful.,The sharp tool is not deadly.,The sharp tool is deadly.,Yes
harmful,deadly,The flood is harmful.,The flood is not deadly.,The flood is deadly.,Yes
harmful,deadly,The hurricane is harmful.,The hurricane is not deadly.,The hurricane is deadly.,Yes
harmful,deadly,The misleading advertisement is harmful.,The misleading advertisement is not deadly.,The misleading advertisement is deadly.,Yes
harmful,deadly,The betrayal is harmful.,The betrayal is not deadly.,The betrayal is deadly.,Yes
harmful,deadly,The unkindness is harmful.,The unkindness is not deadly.,The unkindness is deadly.,Yes
harmful,deadly,The manipulation is harmful.,The manipulation is not deadly.,The manipulation is deadly.,Yes
harmful,deadly,The disregard for safety is harmful.,The disregard for safety is not deadly.,The disregard for safety is deadly.,Yes
harmful,deadly,The recklessness is harmful.,The recklessness is not deadly.,The recklessness is deadly.,Yes
here,everywhere,There is water here.,There is not water everywhere.,There is water everywhere.,Yes
here,everywhere,Birds are singing here.,Birds are not singing everywhere.,Birds are singing everywhere.,Yes
here,everywhere,People are working here.,People are not working everywhere.,People are working everywhere.,Yes
here,everywhere,Children are playing here.,Children are not playing everywhere.,Children are playing everywhere.,Yes
here,everywhere,Cars are parked here.,Cars are not parked everywhere.,Cars are parked everywhere.,Yes
here,everywhere,Trees are growing here.,Trees are not growing everywhere.,Trees are growing everywhere.,Yes
here,everywhere,The sun is shining here.,The sun is not shining everywhere.,The sun is shining everywhere.,Yes
here,everywhere,Flowers are blooming here.,Flowers are not blooming everywhere.,Flowers are blooming everywhere.,Yes
here,everywhere,Dogs are barking here.,Dogs are not barking everywhere.,Dogs are barking everywhere.,Yes
here,everywhere,The wind is blowing here.,The wind is not blowing everywhere.,The wind is blowing everywhere.,Yes
